ID	alias	date	continent	country	country2	country3	name	hospital	replicate	HWW	most_used_ab*	description	hospital_section	hospital_description	no_of_beds	lat	long	sample_material	DNA_ng_µl	A260_280	M_Seqs_trimmed	plot_name
BFH35_S153	BFH35	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	operating room (neurosurgery and traumatology), septic tank	surgery	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	8.255	2.072	30.1	hospital effluent
BFH36_S154	BFH36	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	operating room (maternity), septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	19.383	2.005	31.6	hospital effluent
BFH37_S155	BFH37	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	mortuary, septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	91.184	1.865	31.8	hospital effluent
BFH38A_S156	BFH38A	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	delivery room, septic tank	maternity	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	141.501	1.869	33.8	hospital effluent
BFH38B_S157	BFH38B	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	YES	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	technical replicate of BFH38.A	maternity	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	141.501	1.869	29.3	hospital effluent
BFH39_S158	BFH39	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	emergency, resuscitation, dental surgery, nuclear medicine, septic tank	other	Tertiary hospital, a national refrence hospital	733	12.5	-1.66667	water	87.54	1.869	37.3	hospital effluent
BFH40_S159	BFH40	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	mortuary, emergency, maternity, visceral surgery, emergency operating room, septic tank	other	Tertiary hospital, a national refrence hospital	733	12.3858647	-1.499076	water	86.817	1.865	33.5	hospital effluent
BFH41_S160	BFH41	12_12_19	West Africa	Burkina Faso	Burkina Faso	BF HWW I	BF HWW I	I	NO	YES	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	connection point with Ouagadougou WWTP channel, septic tank	other	Tertiary hospital, a national refrence hospital	733	12.3858647	-1.499076	water	29.98	1.878	36.6	hospital effluent
BFH42_S161	BFH42	12_12_19	West Africa	Burkina Faso	Burkina Faso Env.	BF other	BF receiving river after WWTP	T	NO	NO	amoxicillin + clavulanic acid, amoxicilline, ampicilline, ceftriaxone, chloramphenicole, ciprofloxacin, cloxacillin, cotrimoxazole, doxycyclin, erythomycin, gentamycin, metronidazole, penicillin, rifampicin, tetracycline	receiving river Kossodo, after Ouagadougou WWTP	treated, receiving river	Tertiary hospital, a national refrence hospital	733	12.3858647	-1.499076	water	159.569	1.864	37	river receiving treated wastewater
FH1_S162	FH1	20_01_20	Europe	Finland	Finland	FI HWW J	FI HWW J	J	NO	YES	nd	hospital main drain	other	nd	nd	60.1984474	24.927368	water	49.3	1.87	21.2	hospital effluent
FH2_S163	FH2	20_01_20	Europe	Finland	Finland	FI HWW K	FI HWW K	K	NO	YES	nd	hospital main drain	other	nd	nd	60.1984474	24.927368	water	70.4	1.88	37.9	hospital effluent
FH3_S164	FH3	20_01_20	Europe	Finland	Finland	FI HWW L	FI HWW L	L	NO	YES	nd	hospital main drain	other	nd	nd	60.1984474	24.927368	water	91.8	1.86	30.8	hospital effluent
FH4_S165	FH4	20_01_20	Europe	Finland	Finland	FI HWW M	FI HWW M	M	NO	YES	nd	main drain	other	nd	nd	60.4517531	22.2670522	water	202	1.87	24.2	hospital effluent
FH5_S166	FH5	20_01_20	Europe	Finland	Finland	FI HWW M	FI HWW M	M	NO	YES	nd	cancer, hematology, maxillofacial surgery clinic	other	nd	nd	60.4517531	22.2670522	water	243.1	1.88	26.9	hospital effluent
FH6_S167	FH6	20_01_20	Europe	Finland	Finland	FI HWW M	FI HWW M	M	NO	YES	nd	emergency, day hospital	other	nd	nd	60.4517531	22.2670522	water	135	1.88	25.2	hospital effluent
FH7_S168	FH7	23_01_20	Europe	Finland	Finland	FI HWW N	FI HWW N	N	NO	YES	nd	main drain	other	nd	nd	62.6093658	25.579461	water	65.1	1.86	26.4	hospital effluent
FH8_S169	FH8	23_01_20	Europe	Finland	Finland	FI HWW N	FI HWW N	N	YES	YES	nd	biological replicate of FH7	other	nd	nd	62.6093658	25.579461	water	267.6	1.88	28.3	hospital effluent
FH9_S170	FH9	28_01_20	Europe	Finland	Finland	FI HWW O	FI HWW O	O	NO	YES	nd	H section of drain 	other	nd	nd	66.49211884	25.77402878	water	198.2	1.87	23.7	hospital effluent
