"Gene"	"Element"	"Class"
"2105_tnpA_DQ473406.1"	"transposase"	"tnpA"
"2791_tnpA_BX571859.1"	"transposase"	"tnpA"
"1981_tnpA_AOCI01000135.1"	"transposase"	"tnpA"
"2204_tnpA_AB646744.1"	"transposase"	"tnpA"
"2533_tnpA_AOCI01000205.1"	"transposase"	"tnpA"
"1180_tnpA_AM286690.1"	"transposase"	"tnpA"
"142_repUS20__rep(pAVX)_CP001784.1"	"plasmid"	"repUS20"
"307_IS91_AGTD01000005.1"	"insertion_element_IS91"	"IS91"
"1157_tnpA_JIDP01000002.1"	"transposase"	"tnpA"
"545_tnpA(ISnew)_AJ698325.1"	"transposase"	"tnpA(ISnew)"
"347_istA_DQ125241.2"	"istA"	"istA"
"871_tnpA_AY779042.1"	"transposase"	"tnpA"
"2009_tnpA_KP125893.1"	"transposase"	"tnpA"
"2415_tnpA_7_KU665642.1"	"transposase"	"tnpA"
"132_repUS10__CDS25(pSSP1)_AP008935"	"plasmid"	"repUS10"
"789_tnpA_CP002474.1"	"transposase"	"tnpA"
"2408_int2_AE017042.1"	"integrase"	"int2"
"2710_tnpA_AY939911.1"	"transposase"	"tnpA"
"589_int3_LN890524.1"	"integrase"	"int3"
"1295_tnpA_FCOX02000267.1"	"transposase"	"tnpA"
"1520_tnpA_HE613569.1"	"transposase"	"tnpA"
"2344_istA13_LK391695.1"	"istA13"	"istA13"
"2580_tnpA_JN106175.1"	"transposase"	"tnpA"
"2605_tnpA_JN106167.1"	"transposase"	"tnpA"
"521_tnpA_AJ318089.1"	"transposase"	"tnpA"
"705_tnpA_HE613569.1"	"transposase"	"tnpA"
"765_tnpA_HE613569.1"	"transposase"	"tnpA"
"667_tnpA_CBSV010000057.1"	"transposase"	"tnpA"
"1309_tnpA_KP834592.1"	"transposase"	"tnpA"
"1828_tnpA_AB434906.1"	"transposase"	"tnpA"
"1905_tnpA_FP885897.1"	"transposase"	"tnpA"
"2321_tnpA_CP000352.1"	"transposase"	"tnpA"
"309_tnpA_JQ690540.1"	"transposase"	"tnpA"
"738_tnpA_FP885907.1"	"transposase"	"tnpA"
"724_ISCre2_NC015673"	"ISCR"	"ISCre2"
"847_IS91_LK021130.1"	"insertion_element_IS91"	"IS91"
"898_IS91_CP019296.1"	"insertion_element_IS91"	"IS91"
"1831_tnpA_AY639948.1"	"transposase"	"tnpA"
"1167_tnpA_LROM01000066.1"	"transposase"	"tnpA"
"1675_IS91_CP018682.2"	"insertion_element_IS91"	"IS91"
"392_tnpA_JN106170.1"	"transposase"	"tnpA"
"1425_IS91_KX957972.1"	"insertion_element_IS91"	"IS91"
"1814_int3_HE617160.1"	"integrase"	"int3"
"1904_tniA_KF439868.1"	"tniA"	"tniA"
"915_tnpA_AY607844.2"	"transposase"	"tnpA"
"2093_IS91_MQRH01000048.1"	"insertion_element_IS91"	"IS91"
"1612_tnpA_DQ257628.1"	"transposase"	"tnpA"
"1823_tnpA_DQ257629.1"	"transposase"	"tnpA"
"2550_tnpA6_HE578057.1"	"transposase"	"tnpA6"
"2761_tnpA_FLLH01000004.1"	"transposase"	"tnpA"
"2256_tnpA_LN854557.1"	"transposase"	"tnpA"
"997_tnpA_AF342826.1"	"transposase"	"tnpA"
"1072_int2_CP003859.1"	"integrase"	"int2"
"1604_int2_FR824043.1"	"integrase"	"int2"
"1990_tnpA_LT608328.1"	"transposase"	"tnpA"
"2729_tnpA_KU736870.1"	"transposase"	"tnpA"
"281_ISCR-orf513_KJ186154.1"	"ISCR"	"ISCR-orf513"
"817_tnpA_ISSod37_AE014300.1"	"transposase"	"tnpA"
"970_IS91_MOMM01000027.1"	"insertion_element_IS91"	"IS91"
"1973_tnpA_KX029332.1"	"transposase"	"tnpA"
"957_tnpA_KX029332.1"	"transposase"	"tnpA"
"1457_IS91_MQRH01000053.1"	"insertion_element_IS91"	"IS91"
"1558_tnpA_U13767.1"	"transposase"	"tnpA"
"1591_int2_ADFW01000002.1"	"integrase"	"int2"
"1747_IS91_MJVB01000022.1"	"insertion_element_IS91"	"IS91"
"2275_tnpA_AOCI01000012.1"	"transposase"	"tnpA"
"443_tnpA_CT573071.1"	"transposase"	"tnpA"
"600_IS91_MJIC01000004.1"	"insertion_element_IS91"	"IS91"
"984_IS91_MQRH01000041.1"	"insertion_element_IS91"	"IS91"
"1101_tnpA_CTRJ01000004.1"	"transposase"	"tnpA"
"1111_tnpA_FR854090.1"	"transposase"	"tnpA"
"1881_IS91_MNQS01000105.1"	"insertion_element_IS91"	"IS91"
"2051_tnpA_KU167609.1"	"transposase"	"tnpA"
"2534_tnpA_LN899827.1"	"transposase"	"tnpA"
"578_tnpA_BX571965.1"	"transposase"	"tnpA"
"2696_tnpA_U14952.1"	"transposase"	"tnpA"
"2181_tnpA_AE014299.2"	"transposase"	"tnpA"
"1395_Int-Tn916_KC414929.1"	"integrase"	"Int-Tn916"
"1584_int2_CP003858.1"	"integrase"	"int2"
"1394_istA11_LK391695.1"	"istA11"	"istA11"
"1676_tnpA_AF079317.1"	"transposase"	"tnpA"
"319_tnpA_ISSod3_AE014300.1"	"transposase"	"tnpA"
"945_tnpA_AB032203.1"	"transposase"	"tnpA"
"949_tnpA_CP000646.1"	"transposase"	"tnpA"
"1344_tnpA_AF060871.1"	"transposase"	"tnpA"
"2272_tnpA_ANKQ01000002.1"	"transposase"	"tnpA"
"659_tnpA_AE014299.2"	"transposase"	"tnpA"
"731_tnpA_FN392238.1"	"transposase"	"tnpA"
"2147_ISCau1_NC012590"	"ISCau1"	"ISCau1"
"1075_IS91_MOFO01000088.1"	"insertion_element_IS91"	"IS91"
"1079_int3_AM902716.1"	"integrase"	"int3"
"1273_IS91_CP003742.1"	"insertion_element_IS91"	"IS91"
"1484_tnpA10_HQ840942.1"	"transposase"	"tnpA10"
"1494_tnpA_HF545434.1"	"transposase"	"tnpA"
"1791_int2_AM902716.1"	"integrase"	"int2"
"2211_tnpA_CP001846.1"	"transposase"	"tnpA"
"2376_tnpA_FP236842.1"	"transposase"	"tnpA"
"2460_tnpA_FO203500.1"	"transposase"	"tnpA"
"2470_tnpA_CP000353.2"	"transposase"	"tnpA"
"2630_IS91_CP003742.1"	"insertion_element_IS91"	"IS91"
"2730_tnpA_AOCI01000042.1"	"transposase"	"tnpA"
"306_IS91_LRLW01000235.1"	"insertion_element_IS91"	"IS91"
"482_tnpA_FN649418.1"	"transposase"	"tnpA"
"541_tnpA_FP236842.1"	"transposase"	"tnpA"
"614_tnpA_FP236842.1"	"transposase"	"tnpA"
"821_tnpA_CP002125.1"	"transposase"	"tnpA"
"1690_tnpA_AE014299.2"	"transposase"	"tnpA"
"1717_tnpA_AE014299.2"	"transposase"	"tnpA"
"1737_IS91_MKFJ01000016.1"	"insertion_element_IS91"	"IS91"
"1813_int2_HE577054.1"	"integrase"	"int2"
"2174_tnpA_AE014299.2"	"transposase"	"tnpA"
"2230_tnpA_AF548142.1"	"transposase"	"tnpA"
"2266_tnpA_LFUT01000004.1"	"transposase"	"tnpA"
"404_tnpA_LT599583.1"	"transposase"	"tnpA"
"490_IS91_CP013251.1"	"insertion_element_IS91"	"IS91"
"756_tnpA_AE014299.2"	"transposase"	"tnpA"
"718_tnpA_KF680002.1"	"transposase"	"tnpA"
"1194_tnpA_AM286690.1"	"transposase"	"tnpA"
"1352_tnpA_AE014299.2"	"transposase"	"tnpA"
"1914_IS91_MNUL01000105.1"	"insertion_element_IS91"	"IS91"
"2759_tnpA_ISSod4_AE014300.1"	"transposase"	"tnpA"
"298_tnpA_AE014299.2"	"transposase"	"tnpA"
"317_tnpA_KR259132.1"	"transposase"	"tnpA"
"318_tnpA_AE014299.2"	"transposase"	"tnpA"
"1007_IS91_CP017105.1"	"insertion_element_IS91"	"IS91"
"1398_IS91_MKEM01000335.1"	"insertion_element_IS91"	"IS91"
"2384_IS91_MOJE01000055.1"	"insertion_element_IS91"	"IS91"
"2418_IS91_MOJA01000111.1"	"insertion_element_IS91"	"IS91"
"1664_tnpA_1_AE017042.1"	"transposase"	"tnpA"
"793_tnpA_AE014299.2"	"transposase"	"tnpA"
"1848_IS91_LN554852.1"	"insertion_element_IS91"	"IS91"
"1731_IS91_CP003740.1"	"insertion_element_IS91"	"IS91"
"2361_int2_CP010905.2"	"integrase"	"int2"
"2618_IS91_CP017105.1"	"insertion_element_IS91"	"IS91"
"2674_IS91_CP018682.2"	"insertion_element_IS91"	"IS91"
"1099_IS91_MNXT01000334.1"	"insertion_element_IS91"	"IS91"
"1365_tnpA_AJ001828.1"	"transposase"	"tnpA"
"2673_IS91_MNDF01000012.1"	"insertion_element_IS91"	"IS91"
"1029_IS91_AB702969.1"	"insertion_element_IS91"	"IS91"
"1035_IS91_FJ914220.1"	"insertion_element_IS91"	"IS91"
"1392_IS91_LRLV01000105.1"	"insertion_element_IS91"	"IS91"
"1611_IS91_MIXE01000079.1"	"insertion_element_IS91"	"IS91"
"1659_IS91_LRLN01000181.1"	"insertion_element_IS91"	"IS91"
"1809_IS91_CP017269.1"	"insertion_element_IS91"	"IS91"
"1944_IS91_AP014804.1"	"insertion_element_IS91"	"IS91"
"2069_IS91_CP017269.1"	"insertion_element_IS91"	"IS91"
"2113_IS91_MOIY01000074.1"	"insertion_element_IS91"	"IS91"
"2155_IS91_MKQI01000024.1"	"insertion_element_IS91"	"IS91"
"2327_IS91_AE014073.1"	"insertion_element_IS91"	"IS91"
"274_IS91_MSKD01000035.1"	"insertion_element_IS91"	"IS91"
"276_IS91_CXCY01000114.1"	"insertion_element_IS91"	"IS91"
"293_IS91_GQ259888.1"	"insertion_element_IS91"	"IS91"
"316_IS91_LGMC01000103.1"	"insertion_element_IS91"	"IS91"
"416_IS91_MOLD01000168.1"	"insertion_element_IS91"	"IS91"
"436_IS91_AOGM01000145.1"	"insertion_element_IS91"	"IS91"
"461_IS91_CXDF01000209.1"	"insertion_element_IS91"	"IS91"
"512_IS91_CP000913.1"	"insertion_element_IS91"	"IS91"
"570_IS91_LRKX01000162.1"	"insertion_element_IS91"	"IS91"
"582_IS91_CP002186.1"	"insertion_element_IS91"	"IS91"
"644_IS91_CP003742.1"	"insertion_element_IS91"	"IS91"
"707_IS91_MSKG01000382.1"	"insertion_element_IS91"	"IS91"
"810_tnpA_KM390023.1"	"transposase"	"tnpA"
"1021_tnpA_3_KU665642.1"	"transposase"	"tnpA"
"1554_IS91_LT670843.1"	"insertion_element_IS91"	"IS91"
"85_rep19_4_repA(pUB101)_NC005127"	"plasmid"	"rep19"
"411_tnpA_AM409516.1"	"transposase"	"tnpA"
"118_rep22_2_repU(pKKS825)_FN377602.2"	"plasmid"	"rep22"
"1627_tnpA_CP009170.1"	"transposase"	"tnpA"
"2769_tnpA_CP000354.2"	"transposase"	"tnpA"
"663_IS91_LGMS01000185.1"	"insertion_element_IS91"	"IS91"
"1233_tnpA_JN208880.1"	"transposase"	"tnpA"
"1414_IS91_CP002383.1"	"insertion_element_IS91"	"IS91"
"1724_IS91_LRKE01000216.1"	"insertion_element_IS91"	"IS91"
"486_IS91_CP001252.1"	"insertion_element_IS91"	"IS91"
"814_IS91_CP002383.1"	"insertion_element_IS91"	"IS91"
"1113_tnpA1_HE577054.1"	"transposase"	"tnpA1"
"126_repUS4__repA(pCI2000)_AF178424"	"plasmid"	"repUS4"
"2223_tnpA_CR942285.1"	"transposase"	"tnpA"
"2473_tnpA_KM083808.1"	"transposase"	"tnpA"
"2756_tnpA_KX810026.1"	"transposase"	"tnpA"
"354_IS91_LGMW01000121.1"	"insertion_element_IS91"	"IS91"
"516_IS91_LGMT01000156.1"	"insertion_element_IS91"	"IS91"
"678_IS91_CP018775.1"	"insertion_element_IS91"	"IS91"
"1210_IS91_MNXU01000079.1"	"insertion_element_IS91"	"IS91"
"1284_IS91_MSDV01000044.1"	"insertion_element_IS91"	"IS91"
"2553_tnpA_KC964606.1"	"transposase"	"tnpA"
"2599_IS91_LN554848.1"	"insertion_element_IS91"	"IS91"
"1055_int3_FR824043.1"	"integrase"	"int3"
"1258_tnpA_AF087482.1"	"transposase"	"tnpA"
"302_tnpA_FN568063.1"	"transposase"	"tnpA"
"397_tnpA_FN568063.1"	"transposase"	"tnpA"
"417_IS91_MNPA01000063.1"	"insertion_element_IS91"	"IS91"
"631_tnpA_CMVG01000038.1"	"transposase"	"tnpA"
"913_tnpA_AY305378.1"	"transposase"	"tnpA"
"2547_tnpA_HF953351.1"	"transposase"	"tnpA"
"1001_tnpA_FP236842.1"	"transposase"	"tnpA"
"1757_int2_HE858529.1"	"integrase"	"int2"
"396_IS91_LGMC01000131.1"	"insertion_element_IS91"	"IS91"
"884_tnpA_CP002124.1"	"transposase"	"tnpA"
"1367_tnpA_AE014299.2"	"transposase"	"tnpA"
"2520_IS91_CP000753.1"	"insertion_element_IS91"	"IS91"
"493_tnpA_ISSod1_AE014300.1"	"transposase"	"tnpA"
"576_ISRgn1_AF320327"	"ISRgn1"	"ISRgn1"
"1794_int3_FN597644.1"	"integrase"	"int3"
"2138_IS91_MNRD01000143.1"	"insertion_element_IS91"	"IS91"
"2401_int3_CP002634.1"	"integrase"	"int3"
"650_tnpA3B3-ISLL6_AY849557.2"	"transposase"	"tnpA3B3-ISLL6"
"2005_tnpA_ISSod17_AE014300.1"	"transposase"	"tnpA"
"1328_tnpA_KR230047.1"	"transposase"	"tnpA"
"1755_IS91_CP017269.1"	"insertion_element_IS91"	"IS91"
"1897_IS91_MNRK01000014.1"	"insertion_element_IS91"	"IS91"
"2476_IS91_MNRD01000033.1"	"insertion_element_IS91"	"IS91"
"1441_IS91_CP002432.1"	"insertion_element_IS91"	"IS91"
"2655_IS91_CP019240.1"	"insertion_element_IS91"	"IS91"
"725_istA2_AM261760.1"	"istA2"	"istA2"
"1723_IS91_MNRD01000033.1"	"insertion_element_IS91"	"IS91"
"2298_int3_CP002206.1"	"integrase"	"int3"
"2323_IS91_CP003879.1"	"insertion_element_IS91"	"IS91"
"2403_int3_CP003857.1"	"integrase"	"int3"
"1769_tnpA_AP010805.1"	"transposase"	"tnpA"
"1807_int3_CP003840.1"	"integrase"	"int3"
"2404_int2_CP001830.1"	"integrase"	"int2"
"2795_tniA_AGTD01000004.1"	"tniA"	"tniA"
"497_int2_AP012335.1"	"integrase"	"int2"
"740_IS91_CP017770.1"	"insertion_element_IS91"	"IS91"
"586_tnpA2B2-ISLL6_AY849557.2"	"transposase"	"tnpA2B2-ISLL6"
"469_IS91_LGMC01000232.1"	"insertion_element_IS91"	"IS91"
"757_tnpA_CDAN01000773.1"	"transposase"	"tnpA"
"592_tnpA1B1-ISLL6_AY849557.2"	"transposase"	"tnpA1B1-ISLL6"
"138_repUS16__repF(pE194)_M17811.1"	"plasmid"	"repUS16"
"921_tnpAB_EU402605.1"	"transposase"	"tnpAB"
"604_IS91_CP001052.1"	"insertion_element_IS91"	"IS91"
"658_IS91_CP002738.1"	"insertion_element_IS91"	"IS91"
"1249_IS91_CP003879.1"	"insertion_element_IS91"	"IS91"
"1254_IS91_CP003989.2"	"insertion_element_IS91"	"IS91"
"2133_IS91_CP003989.2"	"insertion_element_IS91"	"IS91"
"754_tnpA_U93591.1"	"transposase"	"tnpA"
"922_tnpA_KP987215.1"	"transposase"	"tnpA"
"1740_IS91_CP019240.1"	"insertion_element_IS91"	"IS91"
"2075_tnpA_KJ746495.1"	"transposase"	"tnpA"
"2210_tnpA_X91246.1"	"transposase"	"tnpA"
"1452_tnpA_DQ147773.1"	"transposase"	"tnpA"
"1417_IS91_JGVI01000044.1"	"insertion_element_IS91"	"IS91"
"621_tnpA_3_AE017042.1"	"transposase"	"tnpA"
"1299_IS91_LN554852.1"	"insertion_element_IS91"	"IS91"
"1593_IS91_AAXY01000025.1"	"insertion_element_IS91"	"IS91"
"1689_tnpA_AE014299.2"	"transposase"	"tnpA"
"2063_IS91_LN554852.1"	"insertion_element_IS91"	"IS91"
"2530_tnpA_AOCI01000035.1"	"transposase"	"tnpA"
"2615_IS91_CP013251.1"	"insertion_element_IS91"	"IS91"
"2705_tnpA_KU254577.1"	"transposase"	"tnpA"
"2020_tnpA_FN806773.1"	"transposase"	"tnpA"
"2170_tnpA_CP003891.1"	"transposase"	"tnpA"
"2320_IS91_ABCQ01000008.1"	"insertion_element_IS91"	"IS91"
"536_tnpA_GU371926.1"	"transposase"	"tnpA"
"597_tnpA_AE014299.2"	"transposase"	"tnpA"
"1065_IS91_LGMS01000178.1"	"insertion_element_IS91"	"IS91"
"1888_IS91_AB616660.2"	"insertion_element_IS91"	"IS91"
"1963_tnpA_CELV01000211.1"	"transposase"	"tnpA"
"470_IS91_MOIA01000080.1"	"insertion_element_IS91"	"IS91"
"806_tnpA_FN806773.1"	"transposase"	"tnpA"
"1698_IS91_LRLP01000027.1"	"insertion_element_IS91"	"IS91"
"2108_IS91_CP002017.1"	"insertion_element_IS91"	"IS91"
"2311_IS91_CP002017.1"	"insertion_element_IS91"	"IS91"
"1375_tnpA_ADMU01000041.1"	"transposase"	"tnpA"
"1407_IS91_AESD01000951.1"	"insertion_element_IS91"	"IS91"
"1434_tnpA5_CP001894.1"	"transposase"	"tnpA5"
"937_tnpA_U93590.1"	"transposase"	"tnpA"
"1225_tnpA_CALH01000114.1"	"transposase"	"tnpA"
"1862_tnpA_CP001879.1"	"transposase"	"tnpA"
"1891_IS91_CP003742.1"	"insertion_element_IS91"	"IS91"
"1051_tnpA_AKTZ01000001.1"	"transposase"	"tnpA"
"1257_tnpA_CP002039.1"	"transposase"	"tnpA"
"1875_istA5_LK391695.1"	"istA5"	"istA5"
"2391_IS91_CP018031.1"	"insertion_element_IS91"	"IS91"
"2719_tnpA_AB035483.1"	"transposase"	"tnpA"
"2482_IS91_LGMW01000116.1"	"insertion_element_IS91"	"IS91"
"1106_tnpA_AF100324.1"	"transposase"	"tnpA"
"1393_tnpA_FR733648.1"	"transposase"	"tnpA"
"864_IS91_CU928147.1"	"insertion_element_IS91"	"IS91"
"904_tnpA_CP000353.2"	"transposase"	"tnpA"
"2629_IS91_MLFK01000009.1"	"insertion_element_IS91"	"IS91"
"1384_IS91_MOKM01000293.1"	"insertion_element_IS91"	"IS91"
"2106_IS91_MOKM01000200.1"	"insertion_element_IS91"	"IS91"
"617_IS91_MJVB01000036.1"	"insertion_element_IS91"	"IS91"
"429_tnpA_AF026542.1"	"transposase"	"tnpA"
"940_tnpA_AF086815.2"	"transposase"	"tnpA"
"1788_int2_X90708.2"	"integrase"	"int2"
"1857_IS91_CP003742.1"	"insertion_element_IS91"	"IS91"
"1383_IS91_MIWB01000054.1"	"insertion_element_IS91"	"IS91"
"1010_tnpA_AJ233397.3"	"transposase"	"tnpA"
"2464_tnpA_KC710195.1"	"transposase"	"tnpA"
"270_IS91_MOFF01000153.1"	"insertion_element_IS91"	"IS91"
"1078_int3_CP013672.1"	"integrase"	"int3"
"1577_IS91_MKEK01000001.1"	"insertion_element_IS91"	"IS91"
"2244_tnpA_KX243412.1"	"transposase"	"tnpA"
"1049_tnpA_HF565366.1"	"transposase"	"tnpA"
"1187_IS91_CXMY01000316.1"	"insertion_element_IS91"	"IS91"
"2356_tnpA_JQ319423.1"	"transposase"	"tnpA"
"2389_tnpA_FKRR01000002.1"	"transposase"	"tnpA"
"2689_tnpA_KX470419.1"	"transposase"	"tnpA"
"292_tnpA_FKRS01000031.1"	"transposase"	"tnpA"
"394_tnpA_KT862781.1"	"transposase"	"tnpA"
"527_tnpA_CDAB01000007.1"	"transposase"	"tnpA"
"805_tnpA_FMRQ01000002.1"	"transposase"	"tnpA"
"923_tnpA_FMOA01000003.1"	"transposase"	"tnpA"
"2123_IS91_MQUF01000021.1"	"insertion_element_IS91"	"IS91"
"1012_IS91_CP018684.2"	"insertion_element_IS91"	"IS91"
"1815_int3_CP009612.1"	"integrase"	"int3"
"2255_tnpA1_HE572590.1"	"transposase"	"tnpA1"
"2656_IS91_HG983279.1"	"insertion_element_IS91"	"IS91"
"2765_tnpA2_HE572590.1"	"transposase"	"tnpA2"
"1193_tnpA_JX424614.1"	"transposase"	"tnpA"
"2658_IS91_KX957971.1"	"insertion_element_IS91"	"IS91"
"449_tnpA_CDAD01000027.1"	"transposase"	"tnpA"
"1817_tnpA_AE014299.2"	"transposase"	"tnpA"
"1536_tnpA_EF151283.1"	"transposase"	"tnpA"
"412_tnpA_FN806773.1"	"transposase"	"tnpA"
"702_tnpA_DQ517526.1"	"transposase"	"tnpA"
"2789_tnpA5_HG916853.1"	"transposase"	"tnpA5"
"2363_tnpA1_AJ245436.1"	"transposase"	"tnpA1"
"1850_ISRj1_X02581"	"ISRj1"	"ISRj1"
"371_tnpA_JF729197.1"	"transposase"	"tnpA"
"1039_int2_LN907827.1"	"integrase"	"int2"
"1381_IS91_APLF01000054.1"	"insertion_element_IS91"	"IS91"
"268_tnpA_KM396300.1"	"transposase"	"tnpA"
"801_tniA_KF040452.1"	"tniA"	"tniA"
"1076_int2_CP003889.1"	"integrase"	"int2"
"1726_tnpA_JN695267.1"	"transposase"	"tnpA"
"739_tnpA_FQ482074.1"	"transposase"	"tnpA"
"783_IS91_MSJV01000504.1"	"insertion_element_IS91"	"IS91"
"2293_IS91_CP018091.1"	"insertion_element_IS91"	"IS91"
"622_tnpA_EU886978.1"	"transposase"	"tnpA"
"1243_IS91_LN554846.1"	"insertion_element_IS91"	"IS91"
"1743_IS91_CR378668.1"	"insertion_element_IS91"	"IS91"
"1008_tnpA_CP002881.1"	"transposase"	"tnpA"
"1053_IS91_MOXO01000337.1"	"insertion_element_IS91"	"IS91"
"105_rep21_3_pS0385-3_AM990995.1"	"plasmid"	"rep21"
"1229_tnpA_AY545598.5"	"transposase"	"tnpA"
"1438_IS91_MQRH01000036.1"	"insertion_element_IS91"	"IS91"
"1552_tnpA_CP002881.1"	"transposase"	"tnpA"
"1360_tnpA_LXLL01000017.1"	"transposase"	"tnpA"
"2196_tnpA_FJ859895.1"	"transposase"	"tnpA"
"613_int3_CP008695.1"	"integrase"	"int3"
"2383_IS91_MOXN01000077.1"	"insertion_element_IS91"	"IS91"
"1093_tnpA_LC198842.1"	"transposase"	"tnpA"
"1306_tnpA_AM296017.1"	"transposase"	"tnpA"
"1530_tnpA_KU130294.1"	"transposase"	"tnpA"
"1553_tnpA_EF614235.1"	"transposase"	"tnpA"
"1576_tnpA_DQ914960.2"	"transposase"	"tnpA"
"1964_tnpA_EF408254.1"	"transposase"	"tnpA"
"2463_tnpA_EF439838.1"	"transposase"	"tnpA"
"2480_tnpA_KU254577.1"	"transposase"	"tnpA"
"2608_tnpA_AM749812.1"	"transposase"	"tnpA"
"2692_tnpA_KU130294.1"	"transposase"	"tnpA"
"2699_tnpA_JQ629929.1"	"transposase"	"tnpA"
"763_tnpA_JX275775.1"	"transposase"	"tnpA"
"137_repUS15__ORF(E.faecium287)_NZAAAK010000287"	"plasmid"	"repUS15"
"2416_tnpA_CT573073.1"	"transposase"	"tnpA"
"495_tnpA_ISSod13_AE014300.1"	"transposase"	"tnpA"
"79_rep17_1_CDS29(pRUM)_AF507977"	"plasmid"	"rep17"
"1144_tnpA_AJ564386.1"	"transposase"	"tnpA"
"1800_tnpA_FJ501215.1"	"transposase"	"tnpA"
"1982_tnpA_KP987218.1"	"transposase"	"tnpA"
"2086_tnpA_CDAD01000016.1"	"transposase"	"tnpA"
"2171_tnpA_GQ324956.1"	"transposase"	"tnpA"
"2176_tnpA_FLQY01000007.1"	"transposase"	"tnpA"
"2302_tnpA_CP002881.1"	"transposase"	"tnpA"
"2625_tnpA_AY540995.2"	"transposase"	"tnpA"
"551_tnpA_CP000967.2"	"transposase"	"tnpA"
"958_tnpA_CDAC01000056.1"	"transposase"	"tnpA"
"2713_tnpA_FM897214.1"	"transposase"	"tnpA"
"1629_tnpA_CDAH01000009.1"	"transposase"	"tnpA"
"1668_tnpA_AE014299.2"	"transposase"	"tnpA"
"2240_tnpA_DQ167474.1"	"transposase"	"tnpA"
"2606_tnpA1_AB238971.1"	"transposase"	"tnpA1"
"875_tnpA_AY305378.1"	"transposase"	"tnpA"
"505_tnpA4_AF550679.1"	"transposase"	"tnpA4"
"1239_tnpA_L48985.1"	"transposase"	"tnpA"
"1773_tnpA_JQ796373.1"	"transposase"	"tnpA"
"2038_tnpA_CP005961.1"	"transposase"	"tnpA"
"427_tnpA_JF785549.1"	"transposase"	"tnpA"
"795_tnpA_AE014299.2"	"transposase"	"tnpA"
"1310_tnpA_ISSod21_AE014300.1"	"transposase"	"tnpA"
"1061_tnpA_KT965093.1"	"transposase"	"tnpA"
"1350_tnpA_KC561054.1"	"transposase"	"tnpA"
"1487_istA11_HG916826.1"	"istA11"	"istA11"
"1578_tnpA_CP000646.1"	"transposase"	"tnpA"
"2392_tnpA13_HG916826.1"	"transposase"	"tnpA13"
"2424_tnpA_CP000353.2"	"transposase"	"tnpA"
"2563_tnpA_KU254577.1"	"transposase"	"tnpA"
"311_IS91_LRLK01000111.1"	"insertion_element_IS91"	"IS91"
"1263_tnpA_AE014299.2"	"transposase"	"tnpA"
"860_tnpA_AE014299.2"	"transposase"	"tnpA"
"1123_tnpA_AMUK01000170.1"	"transposase"	"tnpA"
"119_rep23_1_rep(pPR9)_GU237136.1"	"plasmid"	"rep23"
"120_rep23_2_rep(pV030-8)_EU366902.1"	"plasmid"	"rep23"
"1400_tnpA_AY148032.1"	"transposase"	"tnpA"
"1900_tnpA_AY148030.1"	"transposase"	"tnpA"
"2218_tnpAKR822246.1"	"transposase"	"tnpA"
"479_tnpA_AP013357.1"	"transposase"	"tnpA"
"664_tnpA_KC609323.1"	"transposase"	"tnpA"
"968_tnpA_Z17279.1"	"transposase"	"tnpA"
"1840_tnpA_EU219534.1"	"transposase"	"tnpA"
"1916_tnpA_KC170280.1"	"transposase"	"tnpA"
"2336_tnpA_FJ715942.1"	"transposase"	"tnpA"
"1819_tnpA_CP000353.2"	"transposase"	"tnpA"
"1876_tnpA_AY305378.1"	"transposase"	"tnpA"
"2098_tnpA_FJCC01000059.1"	"transposase"	"tnpA"
"477_tnpA_AM258965.2"	"transposase"	"tnpA"
"638_tnpA_DQ361537.1"	"transposase"	"tnpA"
"800_tnpA3_FR854064.1"	"transposase"	"tnpA3"
"1640_tnpA_AF099014.1"	"transposase"	"tnpA"
"421_tnpA_KU167609.1"	"transposase"	"tnpA"
"1107_tnpA_HE613569.1"	"transposase"	"tnpA"
"460_intI1_AF263519.1"	"integrase"	"intI1"
"542_intI1_DQ647028.2"	"integrase"	"intI1"
"1223_tnpA_DQ973625.1"	"transposase"	"tnpA"
"1650_tnpA_CP000352.1"	"transposase"	"tnpA"
"2162_tnpA_U73041.1"	"transposase"	"tnpA"
"280_tnpA_JF714412.2"	"transposase"	"tnpA"
"46_rep9_1_repA(pAD1)_L01794"	"plasmid"	"rep9"
"49_rep9_4_repA2(pTEF2)_AE016831"	"plasmid"	"rep9"
"992_tnpA_CP000354.2"	"transposase"	"tnpA"
"104_rep21_2_rep(pNVH01)_AJ512814.1"	"plasmid"	"rep21"
"108_rep21_6_rep(pBMSa1)_AY541446.1"	"plasmid"	"rep21"
"323_tnpA_KU682281.1"	"transposase"	"tnpA"
"349_tnpA_JX041889.1"	"transposase"	"tnpA"
"116_rep21_14_rep(pKH21)_EU350088.1"	"plasmid"	"rep21"
"2472_tnpA_JN106170.1"	"transposase"	"tnpA"
"2640_Tn916-orf14_KC414929"	"Tn916"	"Tn916-orf14"
"465_IS91_LRKZ01000069.1"	"insertion_element_IS91"	"IS91"
"47_rep9_2_prgW(pCF10)_AY855841"	"plasmid"	"rep9"
"48_rep9_3_repA(pPD1)_D78016"	"plasmid"	"rep9"
"646_tnpA_KU167609.1"	"transposase"	"tnpA"
"103_rep21_1_rep(pWBG754)_GQ900396.1"	"plasmid"	"rep21"
